# Last update: Mon, 15 Apr 2019 23:00:13 +0200
#
# IP	number of (black)lists
#
171.25.193.25	11
171.25.193.20	11
178.73.215.171	10
197.231.221.211	10
128.31.0.13	9
89.234.157.254	9
206.189.217.240	9
171.25.193.77	9
171.25.193.78	9
171.25.193.235	9
65.19.167.131	9
58.42.228.170	9
64.113.32.29	9
31.220.40.54	9
109.97.49.130	8
51.15.53.83	8
65.19.167.132	8
51.15.187.209	8
185.104.120.60	8
176.31.208.193	8
185.220.101.5	8
185.220.101.3	8
202.150.142.38	8
185.220.101.44	8
185.220.101.46	8
192.160.102.170	8
198.96.155.3	8
192.42.116.16	8
109.201.133.100	8
166.70.207.2	8
163.172.160.182	8
185.220.102.8	8
18.85.192.253	8
193.32.163.89	8
77.247.181.162	8
77.247.181.163	8
115.238.245.2	8
176.10.104.240	8
54.36.222.37	8
186.227.231.244	8
45.67.14.60	8
42.61.24.202	8
185.254.120.6	8
77.247.181.165	8
121.147.22.123	8
111.53.76.186	8
171.217.70.156	8
192.160.102.168	8
205.185.114.232	8
217.170.197.89	8
89.197.161.164	8
205.185.117.100	8
137.74.167.96	8
117.156.234.3	8
80.82.77.33	7
119.65.97.46	7
118.33.75.186	7
185.53.88.97	7
159.65.86.158	7
198.211.114.246	7
162.243.160.215	7
77.247.109.96	7
31.185.104.21	7
5.196.66.162	7
112.197.172.233	7
37.220.36.240	7
124.16.97.49	7
77.247.109.78	7
77.247.109.75	7
37.49.228.121	7
185.104.120.5	7
185.104.120.3	7
185.220.101.33	7
60.223.226.154	7
162.213.3.221	7
185.107.47.171	7
185.220.101.1	7
89.31.57.5	7
209.95.51.11	7
103.44.144.53	7
199.87.154.255	7
206.189.181.86	7
51.15.43.205	7
104.248.83.164	7
71.6.146.185	7
46.165.245.154	7
132.232.88.228	7
37.187.129.166	7
159.203.102.81	7
107.6.169.250	7
221.149.240.230	7
178.17.170.196	7
193.201.224.12	7
218.93.167.5	7
185.220.100.253	7
185.220.101.28	7
185.53.88.41	7
118.184.168.124	7
211.206.101.113	7
185.193.125.42	7
196.52.43.127	7
185.165.168.229	7
185.220.101.26	7
185.220.101.27	7
185.220.101.25	7
185.220.101.22	7
104.248.51.254	7
115.238.245.8	7
115.238.245.4	7
77.247.109.146	7
73.254.135.168	7
185.220.102.4	7
185.220.102.6	7
185.220.102.7	7
78.198.69.64	7
185.53.88.2	7
79.134.234.247	7
77.247.109.129	7
196.52.43.116	7
85.248.227.164	7
85.248.227.163	7
147.135.121.118	7
185.220.101.20	7
116.77.132.129	7
204.17.56.42	7
89.79.233.89	7
122.226.181.165	7
122.226.181.164	7
122.226.181.167	7
122.226.181.166	7
23.254.215.215	7
207.244.70.35	7
46.148.20.25	7
76.69.146.241	7
119.253.84.102	7
217.115.10.132	7
145.249.107.45	7
45.119.212.105	7
180.111.15.1	7
180.150.127.191	7
31.220.0.225	7
87.120.36.157	7
23.129.64.102	7
205.185.120.250	7
35.0.127.52	7
80.67.172.162	7
174.138.54.52	7
114.225.71.223	7
107.6.171.130	7
113.100.254.237	7
86.252.73.53	7
37.72.219.137	7
62.102.148.69	7
62.102.148.68	7
62.102.148.67	7
5.199.130.188	7
117.211.161.42	7
129.211.132.124	7
185.129.62.62	7
103.210.133.5	7
46.182.106.190	7
46.165.230.5	7
222.186.133.152	7
185.53.88.166	7
117.89.172.145	7
37.139.8.104	7
198.143.158.82	7
58.218.66.242	7
185.220.101.34	7
46.128.220.207	7
196.52.43.96	7
192.160.102.165	7
195.206.105.217	7
182.45.92.16	7
185.254.122.114	7
61.188.189.7	7
101.227.64.169	7
185.100.87.206	7
185.100.87.207	7
185.244.25.119	6
125.184.154.143	6
39.112.128.140	6
77.247.108.37	6
137.74.169.241	6
41.164.146.197	6
77.247.109.74	6
188.92.77.235	6
149.34.11.228	6
162.247.74.202	6
106.75.120.245	6
110.249.212.46	6
218.60.67.70	6
51.77.177.194	6
144.217.164.104	6
134.209.244.198	6
211.109.96.118	6
164.132.51.91	6
78.109.23.2	6
122.114.15.40	6
223.111.139.211	6
223.111.139.210	6
129.204.146.39	6
218.48.59.189	6
162.247.74.199	6
188.166.107.8	6
73.162.65.136	6
111.7.164.67	6
195.176.3.20	6
96.57.82.166	6
185.107.47.215	6
2.106.53.187	6
82.221.131.5	6
96.72.197.200	6
223.111.139.239	6
149.34.11.0	6
39.188.100.210	6
94.132.230.45	6
104.218.63.76	6
109.251.55.235	6
216.218.134.12	6
54.36.189.105	6
192.81.215.71	6
189.28.180.216	6
5.196.1.129	6
37.182.236.14	6
